account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Toughzap,WUGE2QUO,Gladys Colclough,Lost,MG Advanced,2017-04-07,2017-04-18,0
Sonron,XBLA9VO6,James Ascencio,Won,GTX Plus Basic,2017-04-07,2017-05-18,1103
Warephase,QL7H3WQZ,Jonathan Berthelot,Won,GTX Plus Basic,2017-04-07,2017-04-09,1091
Zumgoity,DXBLA2BS,Jonathan Berthelot,Won,GTX Plus Basic,2017-04-07,2017-04-17,1189
Streethex,EYW0QD8A,Jonathan Berthelot,Won,GTXPro,2017-04-07,2017-06-27,4534
Golddex,NXWNJ7U5,Kami Bicknell,Lost,GTX Basic,2017-04-07,2017-05-12,0
Konex,8LVFBGN4,Kami Bicknell,Lost,GTX Plus Basic,2017-04-07,2017-04-16,0
,UUGY3W44,Kary Hendrixson,In Progress,GTX Basic,2017-04-07,,
,BHHDOY2E,Kary Hendrixson,In Progress,MG Advanced,2017-04-07,,
Codehow,SUQNORF2,Lajuana Vencill,Lost,GTX Basic,2017-04-07,2017-04-16,0
Condax,3M03SX77,Markita Hansen,Won,GTX Basic,2017-04-07,2017-04-13,522
Goodsilron,C7Y0UUIN,Markita Hansen,Won,GTXPro,2017-04-07,2017-05-27,5012
Rantouch,DI6H5ERU,Maureen Marcano,Won,GTX Plus Basic,2017-04-07,2017-04-08,1109
Genco Pura Olive Oil Company,SQZ293C0,Moses Frase,Won,GTX Plus Pro,2017-04-07,2017-04-13,4659
Cancity,2SGRE4VE,Niesha Huffines,Lost,GTX Basic,2017-04-07,2017-04-16,0
Codehow,AMKR98V4,Versie Hillebrand,Lost,GTX Plus Pro,2017-04-07,2017-06-13,0
Treequote,DESFU690,Versie Hillebrand,Lost,GTX Plus Pro,2017-04-07,2017-04-09,0
Konmatfix,V8HMIE7M,Versie Hillebrand,Lost,MG Special,2017-04-07,2017-05-30,0
Rangreen,91JBU17E,Versie Hillebrand,Lost,MG Advanced,2017-04-07,2017-04-12,0
,XDECB9X2,Vicki Laflamme,In Progress,GTX Basic,2017-04-07,,
Konex,4MMQZHCK,Vicki Laflamme,Lost,MG Advanced,2017-04-07,2017-04-16,0
Finjob,RSKU2ZHM,Zane Levy,Lost,MG Advanced,2017-04-07,2017-04-13,0
dambase,8LTQ9ESQ,Anna Snelling,Lost,MG Advanced,2017-04-08,2017-04-15,0
Stanredtax,EBBIJKLT,Anna Snelling,Won,GTX Plus Basic,2017-04-08,2017-04-15,1142
,GL95LARP,Cassey Cress,In Progress,GTXPro,2017-04-08,,
Zathunicon,8RIKWACO,Corliss Cosme,Won,GTX Basic,2017-04-08,2017-05-27,491
Y-corporation,FM505XD5,Daniell Hammack,In Progress,GTX Plus Pro,2017-04-08,,
Finhigh,U3394VAL,Darcel Schlecht,Lost,GTXPro,2017-04-08,2017-04-18,0
Domzoom,G58AHYTW,Darcel Schlecht,Lost,MG Special,2017-04-08,2017-04-14,0
Funholding,KK7L97V7,Darcel Schlecht,Won,GTXPro,2017-04-08,2017-04-09,5678
Bioplex,GWRPJWRO,Donn Cantrell,Lost,GTXPro,2017-04-08,2017-04-16,0
Sumace,GNKFTK7J,Donn Cantrell,Won,GTX Basic,2017-04-08,2017-06-14,547
Umbrella Corporation,UEL6CAP9,Garret Kinder,Lost,GTX Basic,2017-04-08,2017-04-16,0
Singletechno,2FEA30KT,Hayden Neloms,Won,GTX Plus Basic,2017-04-08,2017-05-25,935
Scotfind,P2VXL7MO,Hayden Neloms,Won,GTX Plus Pro,2017-04-08,2017-04-10,4761
Newex,YT7QY06V,Hayden Neloms,Won,MG Advanced,2017-04-08,2017-04-14,3224
Sunnamplex,L66MAMK5,Kami Bicknell,Won,GTX Basic,2017-04-08,2017-04-17,501
Statholdings,RGYBSSEK,Lajuana Vencill,Won,MG Advanced,2017-04-08,2017-04-17,3532
,J6F10SFK,Markita Hansen,In Progress,MG Advanced,2017-04-08,,
Xx-holding,5KC9ZGBX,Maureen Marcano,Won,GTXPro,2017-04-08,2017-04-12,4320
Genco Pura Olive Oil Company,AYIPNQFR,Moses Frase,Lost,MG Special,2017-04-08,2017-04-10,0
Zotware,Q1MP64HG,Reed Clapper,Won,GTX Plus Basic,2017-04-08,2017-06-11,1123
Xx-zobam,XGD6BFD6,Rosie Papadopoulos,Won,GTXPro,2017-04-08,2017-04-09,5217
Codehow,1IH166HI,Versie Hillebrand,Lost,MG Special,2017-04-08,2017-05-27,0
,U4IJO6SL,Vicki Laflamme,In Progress,GTXPro,2017-04-08,,
Labdrill,BK85705L,Vicki Laflamme,Won,GTX Basic,2017-04-08,2017-06-10,595
Konex,77MKNCO3,Vicki Laflamme,Won,GTX Plus Pro,2017-04-08,2017-04-16,5848
Faxquote,OB7TAJOZ,Zane Levy,Lost,GTX Basic,2017-04-08,2017-04-09,0
Plexzap,DU0E2LMZ,Zane Levy,Lost,MG Special,2017-04-08,2017-04-13,0
Xx-holding,1B4CL153,Zane Levy,Won,GTX Plus Pro,2017-04-08,2017-04-17,5884
Betatech,93X2W24Q,Anna Snelling,Won,MG Advanced,2017-04-09,2017-06-02,3666
Zathunicon,U0E9CRX5,Boris Faz,Lost,GTX Basic,2017-04-09,2017-04-18,0
Konex,I7KV29LC,Cassey Cress,Won,GTX Basic,2017-04-09,2017-04-20,598
Initech,NNM6GN1J,Cassey Cress,Won,MG Advanced,2017-04-09,2017-04-16,3275
Funholding,D1UDLFVY,Cecily Lampkin,Lost,GTX Basic,2017-04-09,2017-04-10,0
Isdom,M8WP93D4,Cecily Lampkin,Lost,GTX Basic,2017-04-09,2017-04-18,0
Zumgoity,3GPAFD3X,Cecily Lampkin,Lost,MG Special,2017-04-09,2017-04-20,0
,PVLGUIEN,Corliss Cosme,In Progress,MG Advanced,2017-04-09,,
Betasoloin,XUQ7RS1Q,Daniell Hammack,Lost,GTXPro,2017-04-09,2017-05-30,0
Ron-tech,UFGI9P05,Darcel Schlecht,Won,GTXPro,2017-04-09,2017-04-18,4978
Dalttechnology,RDQZ245F,Elease Gluck,Won,MG Special,2017-04-09,2017-05-29,56
Inity,JA2CDNVM,Gladys Colclough,Won,MG Advanced,2017-04-09,2017-04-14,3077
Hottechi,R0XAJA2I,Hayden Neloms,Won,GTX Plus Basic,2017-04-09,2017-04-17,974
Cheers,BU1B6PHK,Kami Bicknell,Won,GTX Plus Basic,2017-04-09,2017-04-10,915
Singletechno,C3918FWQ,Kary Hendrixson,Lost,GTX Plus Basic,2017-04-09,2017-08-12,0
Blackzim,8GBXTWXE,Kary Hendrixson,Lost,MG Advanced,2017-04-09,2017-04-16,0
Condax,Z29AX2KB,Kary Hendrixson,Won,GTX Plus Basic,2017-04-09,2017-06-20,983
Inity,E733YMVH,Marty Freudenburg,Won,GTX Plus Basic,2017-04-09,2017-04-10,1204
Condax,Y35ES8UY,Moses Frase,Lost,GTX Plus Pro,2017-04-09,2017-04-16,0
Konmatfix,QDRYCR05,Niesha Huffines,Won,GTX Plus Basic,2017-04-09,2017-04-10,970
Betasoloin,TYWS7KJR,Reed Clapper,Won,GTX Basic,2017-04-09,2017-04-16,575
Ganjaflex,X22G55Y5,Rosie Papadopoulos,Won,GTX Plus Pro,2017-04-09,2017-06-18,5986
Finhigh,X7FZMKZW,Versie Hillebrand,Lost,GTX Plus Basic,2017-04-09,2017-04-21,0
Rantouch,72WE0PUH,Vicki Laflamme,Won,MG Special,2017-04-09,2017-06-16,64
,45B6VA2Y,Violet Mclelland,In Progress,MG Special,2017-04-09,,
Zencorporation,SKBDCYV5,Zane Levy,In Progress,GTX Plus Basic,2017-04-09,,
Scotfind,HLGGWYP1,Zane Levy,Lost,GTX Basic,2017-04-09,2017-04-15,0
J-Texon,RU3OP2BA,Zane Levy,Won,MG Advanced,2017-04-09,2017-06-26,3070
Finhigh,YXOM4S7G,Anna Snelling,Lost,MG Special,2017-04-10,2017-04-11,0
Initech,JPH5WS60,Boris Faz,Lost,GTX Basic,2017-04-10,2017-04-11,0
Mathtouch,O1TDG6YN,Cassey Cress,Lost,GTX Plus Basic,2017-04-10,2017-04-17,0
Rangreen,4INFXLM5,Cecily Lampkin,Lost,MG Special,2017-04-10,2017-04-20,0
Isdom,LIZMTGH2,Cecily Lampkin,Won,MG Advanced,2017-04-10,2017-04-18,3409
Acme Corporation,04LU4OPA,Daniell Hammack,Won,GTX Plus Pro,2017-04-10,2017-06-11,5721
Ganjaflex,T1I8GE75,Daniell Hammack,Won,GTXPro,2017-04-10,2017-06-28,5039
Xx-zobam,2HU581DM,Daniell Hammack,Won,GTXPro,2017-04-10,2017-04-11,5000
Hottechi,75S7S74S,Darcel Schlecht,Lost,GTX Basic,2017-04-10,2017-04-18,0
Codehow,VTVF5TBV,Darcel Schlecht,Lost,GTXPro,2017-04-10,2017-04-18,0
Gogozoom,6AC2ATXU,Darcel Schlecht,Won,GTX Plus Pro,2017-04-10,2017-04-16,4955
Condax,F4J6AVPQ,Darcel Schlecht,Won,GTXPro,2017-04-10,2017-04-17,5065
Globex Corporation,NFTSU7RW,Darcel Schlecht,Won,GTXPro,2017-04-10,2017-04-17,4343
Stanredtax,NCUXZU3S,Darcel Schlecht,Won,GTXPro,2017-04-10,2017-04-20,3892
Warephase,YGNVLLUR,Gladys Colclough,Lost,GTX Basic,2017-04-10,2017-04-20,0
,XQ0N9T87,Hayden Neloms,In Progress,MG Advanced,2017-04-10,,
Cheers,O08NQM1J,James Ascencio,Lost,MG Advanced,2017-04-10,2017-04-11,0
Conecom,5OJ4IRW4,Jonathan Berthelot,Won,GTX Plus Basic,2017-04-10,2017-06-27,1115
Kan-code,ZLY8SZXO,Kami Bicknell,Won,GTX Basic,2017-04-10,2017-04-16,533
Cheers,DCC85LZO,Kami Bicknell,Won,GTX Plus Basic,2017-04-10,2017-04-13,1290
Hottechi,ZVWUL0LL,Kary Hendrixson,Lost,GTX Basic,2017-04-10,2017-04-12,0
Green-Plus,4R5LIB5F,Kary Hendrixson,Lost,GTX Plus Basic,2017-04-10,2017-06-13,0
Dontechi,P010EEZF,Lajuana Vencill,Lost,MG Special,2017-04-10,2017-04-12,0
Codehow,7AL9GWK6,Lajuana Vencill,Won,GTX Plus Basic,2017-04-10,2017-06-02,1047
Gogozoom,RHXY2M2W,Lajuana Vencill,Won,MG Special,2017-04-10,2017-04-18,47
Funholding,IKU97NEU,Markita Hansen,In Progress,MG Advanced,2017-04-10,,
Condax,R7SESFM0,Marty Freudenburg,Lost,GTX Basic,2017-04-10,2017-04-21,0
Rangreen,X501NN9P,Marty Freudenburg,Won,GTXPro,2017-04-10,2017-06-09,4413
Hottechi,AUDYTWRK,Maureen Marcano,Won,GTX Plus Basic,2017-04-10,2017-06-26,950
Plussunin,EUKD4Z0V,Reed Clapper,Lost,GTXPro,2017-04-10,2017-04-16,0
The New York Inquirer,KPUHKYWU,Reed Clapper,Won,GTXPro,2017-04-10,2017-04-20,4136
Rundofase,B0KF3NFK,Versie Hillebrand,Won,MG Special,2017-04-10,2017-04-18,62
J-Texon,70M5V003,Vicki Laflamme,Lost,MG Special,2017-04-10,2017-04-18,0
,456BP2X7,Zane Levy,In Progress,MG Advanced,2017-04-10,,
Goodsilron,OC66D0JA,Zane Levy,Won,GTX Basic,2017-04-10,2017-04-11,467
Gekko & Co,KE7SZLG7,Boris Faz,Won,GTX Plus Basic,2017-04-11,2017-06-11,1075
Betatech,XYZ39YT2,Cecily Lampkin,Lost,MG Special,2017-04-11,2017-04-19,0
Ontomedia,O4LNS6IC,Daniell Hammack,Won,MG Special,2017-04-11,2017-04-13,52
Inity,UKIM9XIZ,Darcel Schlecht,Lost,GTXPro,2017-04-11,2017-04-19,0
Inity,5Z0ACVAM,Darcel Schlecht,Lost,GTXPro,2017-04-11,2017-04-12,0
Condax,DIAR4IM7,Darcel Schlecht,Won,GTXPro,2017-04-11,2017-04-18,4837
Plussunin,30YWHJV8,Donn Cantrell,Lost,GTX Plus Basic,2017-04-11,2017-04-18,0
Faxquote,ABXW1X4U,Elease Gluck,Lost,GTX Basic,2017-04-11,2017-06-22,0
Xx-holding,SZ1H1L8I,Elease Gluck,Won,GTX Plus Basic,2017-04-11,2017-04-13,1163
Rundofase,IR03B656,Gladys Colclough,Lost,GTX Basic,2017-04-11,2017-04-21,0
Rantouch,6NZROTHF,James Ascencio,Lost,GTX Plus Pro,2017-04-11,2017-06-10,0
Konex,IFIIB8Y6,Kami Bicknell,Lost,GTX Basic,2017-04-11,2017-04-13,0
,J58BUYQH,Kary Hendrixson,In Progress,GTX Plus Basic,2017-04-11,,
Groovestreet,R2CS85YJ,Kary Hendrixson,Lost,GTX Basic,2017-04-11,2017-04-13,0
Singletechno,8EAINY61,Kary Hendrixson,Lost,GTX Basic,2017-04-11,2017-04-18,0
Doncon,T23MHC9C,Kary Hendrixson,Won,GTX Basic,2017-04-11,2017-04-18,568
Rantouch,D30QC4EE,Kary Hendrixson,Won,GTXPro,2017-04-11,2017-06-19,5063
dambase,JHIX3ODA,Moses Frase,Lost,MG Advanced,2017-04-11,2017-04-21,0
Rundofase,BPUE8GTU,Moses Frase,Won,MG Special,2017-04-11,2017-06-06,46
dambase,2DOJKFNW,Niesha Huffines,Lost,MG Advanced,2017-04-11,2017-04-12,0
Gogozoom,0PSKGNYE,Niesha Huffines,Won,GTX Basic,2017-04-11,2017-04-12,504
Gogozoom,J75N0QYA,Niesha Huffines,Won,MG Special,2017-04-11,2017-04-13,55
Hatfan,SDS8SAZC,Rosalina Dieter,Won,GTXPro,2017-04-11,2017-06-17,4760
Cancity,1426E8W6,Versie Hillebrand,Lost,GTX Basic,2017-04-11,2017-04-21,0
Funholding,3BFBN8JW,Versie Hillebrand,Lost,MG Advanced,2017-04-11,2017-04-18,0
Fasehatice,W1GERPB9,Vicki Laflamme,Won,GTXPro,2017-04-11,2017-06-21,4653
,FN1QX0BQ,Violet Mclelland,In Progress,MG Special,2017-04-11,,
Opentech,922DHXBA,Violet Mclelland,Lost,MG Special,2017-04-11,2017-04-22,0
Massive Dynamic,L36WU4AH,Violet Mclelland,Won,MG Special,2017-04-11,2017-04-12,55
Rundofase,2K8H292S,Anna Snelling,Lost,GTX Basic,2017-04-12,2017-04-18,0
Genco Pura Olive Oil Company,7Y530NLJ,Boris Faz,In Progress,GTX Plus Basic,2017-04-12,,
Konex,XNHGOHPW,Boris Faz,Won,MG Advanced,2017-04-12,2017-04-22,3223
Betasoloin,GAM8C5ET,Cassey Cress,Lost,GTX Plus Pro,2017-04-12,2017-04-17,0
Zathunicon,BHT7UEDJ,Cassey Cress,Won,GTX Basic,2017-04-12,2017-04-19,553
Gekko & Co,7PAVX9CP,Cassey Cress,Won,GTX Plus Basic,2017-04-12,2017-04-14,1114
dambase,IVW8MQGN,Cecily Lampkin,Won,MG Advanced,2017-04-12,2017-04-20,3785
Rangreen,CVFUMOK9,Corliss Cosme,In Progress,GTX Plus Pro,2017-04-12,,
Streethex,1VHUPB8X,Darcel Schlecht,Lost,GTX Plus Basic,2017-04-12,2017-04-14,0
Gogozoom,G5FN7I7T,Darcel Schlecht,Lost,MG Advanced,2017-04-12,2017-06-28,0
Yearin,OHVPXBSR,Donn Cantrell,Won,GTXPro,2017-04-12,2017-04-13,5316
Goodsilron,GHY9QZKG,Hayden Neloms,Lost,MG Special,2017-04-12,2017-04-16,0
Cancity,M9RGVU1F,Jonathan Berthelot,Lost,GTXPro,2017-04-12,2017-04-24,0
Dontechi,JBBJL4C2,Jonathan Berthelot,Won,GTX Basic,2017-04-12,2017-06-23,531
Rangreen,HMI6RBK9,Jonathan Berthelot,Won,GTX Basic,2017-04-12,2017-06-16,544
Y-corporation,2EKGLB0Q,Kami Bicknell,Won,GTX Basic,2017-04-12,2017-04-13,478
Finjob,NBYPJR21,Kami Bicknell,Won,GTXPro,2017-04-12,2017-04-22,5672
Goodsilron,HYPZOTY8,Kami Bicknell,Won,MG Special,2017-04-12,2017-04-19,51
Konex,31I0SB7T,Kami Bicknell,Won,MG Advanced,2017-04-12,2017-04-19,3141
,R0CLLIH9,Kary Hendrixson,In Progress,GTXPro,2017-04-12,,
Doncon,UIDAJBAI,Kary Hendrixson,Lost,GTXPro,2017-04-12,2017-04-13,0
Groovestreet,VO3C2LE4,Kary Hendrixson,Lost,MG Special,2017-04-12,2017-04-16,0
Golddex,UC7JT39Q,Markita Hansen,Lost,MG Special,2017-04-12,2017-04-13,0
Codehow,F1LLBOUV,Marty Freudenburg,Lost,GTX Plus Basic,2017-04-12,2017-04-13,0
Hottechi,7H9J8W50,Marty Freudenburg,Lost,GTX Plus Pro,2017-04-12,2017-04-14,0
Conecom,8O03S3U3,Moses Frase,Lost,GTX Plus Pro,2017-04-12,2017-04-22,0
Kan-code,TGQN6HTN,Reed Clapper,Won,GTX Plus Pro,2017-04-12,2017-06-21,5393
Dontechi,X8GGF9MG,Rosalina Dieter,In Progress,MG Special,2017-04-12,,
Statholdings,CPJK2600,Versie Hillebrand,Lost,MG Special,2017-04-12,2017-04-19,0
,3P7QQSVF,Vicki Laflamme,In Progress,MG Special,2017-04-12,,
Lexiqvolax,PGXIPGDM,Vicki Laflamme,In Progress,MG Advanced,2017-04-12,,
Green-Plus,TLXS1NB8,Vicki Laflamme,Lost,GTX Plus Pro,2017-04-12,2017-04-19,0
Hottechi,TRR34NSR,Vicki Laflamme,Won,GTX Basic,2017-04-12,2017-06-06,638
J-Texon,F2KINGVU,Vicki Laflamme,Won,MG Special,2017-04-12,2017-04-23,50
Bioplex,Q169CIK6,Violet Mclelland,Lost,MG Advanced,2017-04-12,2017-04-18,0
Hatfan,1QWG9VM6,Zane Levy,Won,GTXPro,2017-04-12,2017-04-22,4272
Bioholding,8OHCCD42,Anna Snelling,Lost,GTX Plus Basic,2017-04-13,2017-04-15,0
Inity,QBCK25DV,Anna Snelling,Won,MG Special,2017-04-13,2017-04-15,58
Ontomedia,8IEVY30X,Boris Faz,Won,GTX Plus Basic,2017-04-13,2017-04-14,1088
Donquadtech,6444O6DK,Corliss Cosme,Lost,GTX Basic,2017-04-13,2017-04-23,0
Silis,GNL7T2JP,Corliss Cosme,Lost,GTXPro,2017-04-13,2017-04-18,0
Plussunin,V9YR14KW,Daniell Hammack,Lost,GTX Basic,2017-04-13,2017-04-20,0
Kan-code,24LP4J8U,Daniell Hammack,Lost,GTXPro,2017-04-13,2017-05-13,0
Betatech,37LTMWB0,Darcel Schlecht,Lost,GTX Basic,2017-04-13,2017-04-20,0
Globex Corporation,8BH9RNZI,Darcel Schlecht,Lost,GTXPro,2017-04-13,2017-04-14,0
Domzoom,2ZU519Y6,Darcel Schlecht,Won,GTX Plus Basic,2017-04-13,2017-04-19,1327
Dontechi,ZESI2PFU,Darcel Schlecht,Won,GTX Plus Basic,2017-04-13,2017-06-27,923
Scottech,X8T4XLTY,Darcel Schlecht,Won,GTX Plus Basic,2017-04-13,2017-04-23,1058
Streethex,OS2CD01K,Darcel Schlecht,Won,GTX Plus Pro,2017-04-13,2017-04-21,5220
Condax,JNKDEAG9,Gladys Colclough,Lost,GTX Plus Pro,2017-04-13,2017-04-19,0
Ron-tech,7MGVL7FC,Gladys Colclough,Won,MG Special,2017-04-13,2017-04-22,55
Dalttechnology,IFJ2AE9R,Hayden Neloms,Lost,MG Advanced,2017-04-13,2017-04-20,0
Hatfan,HEDUIEUN,Hayden Neloms,Won,MG Special,2017-04-13,2017-06-23,62
Golddex,D3OST43E,James Ascencio,Won,GTX Plus Basic,2017-04-13,2017-04-20,996
,Z7OH4GWO,Kami Bicknell,In Progress,GTXPro,2017-04-13,,
Rantouch,9537WTHG,Kami Bicknell,Lost,GTX Basic,2017-04-13,2017-06-09,0
Hottechi,6PMHI9G4,Kami Bicknell,Won,GTX Basic,2017-04-13,2017-04-22,543
Hatfan,H3ITKE4I,Kary Hendrixson,Lost,GTXPro,2017-04-13,2017-04-19,0
Y-corporation,4RPUMZ9M,Kary Hendrixson,Lost,GTXPro,2017-04-13,2017-04-21,0
Warephase,U9RFE81I,Moses Frase,Lost,MG Special,2017-04-13,2017-08-16,0
Scottech,4T2XENE2,Niesha Huffines,Lost,GTX Plus Basic,2017-04-13,2017-06-16,0
Finhigh,LIFA0JYO,Versie Hillebrand,Lost,MG Special,2017-04-13,2017-05-26,0
Bioholding,JQ8V4I1K,Versie Hillebrand,Won,MG Special,2017-04-13,2017-04-22,56
Kan-code,N5CCEEOY,Vicki Laflamme,Lost,GTX Plus Pro,2017-04-13,2017-04-20,0
Blackzim,C0SNGBJU,Vicki Laflamme,Lost,MG Advanced,2017-04-13,2017-04-23,0
Sumace,VN6JB8HU,Violet Mclelland,Won,GTX Plus Basic,2017-04-13,2017-06-10,1145
Silis,JK4IB77I,Wilburn Farren,Lost,GTXPro,2017-04-13,2017-04-26,0
,81G840FM,Zane Levy,In Progress,GTX Basic,2017-04-13,,
,U5K2MZB6,Zane Levy,In Progress,MG Advanced,2017-04-13,,
Zencorporation,XMEYATKB,Cassey Cress,Lost,GTX Plus Pro,2017-04-14,2017-04-19,0
Bluth Company,IUDDK8Q0,Cassey Cress,Lost,GTXPro,2017-04-14,2017-04-22,0
Umbrella Corporation,YQXAY03C,Cassey Cress,Lost,MG Advanced,2017-04-14,2017-04-19,0
Massive Dynamic,QKQ5N9Z1,Corliss Cosme,Won,GTX Plus Basic,2017-04-14,2017-04-23,1033
The New York Inquirer,RZRRMWTH,Daniell Hammack,Lost,MG Advanced,2017-04-14,2017-04-20,0
Gogozoom,JS9SCCJ3,Darcel Schlecht,Lost,GTX Plus Basic,2017-04-14,2017-04-15,0
Treequote,WOBZWEPI,Darcel Schlecht,Lost,GTXPro,2017-04-14,2017-04-16,0
Cancity,HBIQF55L,Darcel Schlecht,Won,GTXPro,2017-04-14,2017-08-14,4359
Warephase,V5XB0UPL,Darcel Schlecht,Won,GTXPro,2017-04-14,2017-06-02,4575
Finhigh,QW9JMUTD,Darcel Schlecht,Won,MG Special,2017-04-14,2017-04-22,53
J-Texon,7ODLTF4W,Elease Gluck,Won,GTX Basic,2017-04-14,2017-04-16,597
Zoomit,RUCPPMPY,Elease Gluck,Won,MG Advanced,2017-04-14,2017-06-16,3179
Globex Corporation,SJHD5TFA,Gladys Colclough,Lost,GTX Basic,2017-04-14,2017-06-16,0
Stanredtax,2B0QVPBT,Gladys Colclough,Won,MG Special,2017-04-14,2017-04-15,57
Hottechi,YIZ1VQ3U,Hayden Neloms,Lost,MG Advanced,2017-04-14,2017-04-15,0
Scotfind,FMNSL9TP,Hayden Neloms,Won,MG Advanced,2017-04-14,2017-04-24,2997
Faxquote,8ZU8D508,James Ascencio,Won,GTX Basic,2017-04-14,2017-05-29,545
Zumgoity,NVDVFYGE,Jonathan Berthelot,Won,GTX Basic,2017-04-14,2017-04-25,565
Treequote,QQH0YV1W,Jonathan Berthelot,Won,MG Special,2017-04-14,2017-04-24,54
,ZVAZKWF3,Kami Bicknell,In Progress,GTXPro,2017-04-14,,
J-Texon,IUNX2OMX,Kami Bicknell,Lost,GTX Basic,2017-04-14,2017-04-15,0
Sunnamplex,6WODV6KD,Kami Bicknell,Won,GTXPro,2017-04-14,2017-04-21,4991
,6S2ABHZS,Markita Hansen,In Progress,GTX Basic,2017-04-14,,
,COM9RNBL,Markita Hansen,In Progress,MG Special,2017-04-14,,
Hottechi,RTZFPWVN,Maureen Marcano,Lost,GTX Plus Pro,2017-04-14,2017-04-19,0
Blackzim,VYDCTUAU,Maureen Marcano,Lost,MG Advanced,2017-04-14,2017-04-16,0
Silis,KYFONJP5,Rosie Papadopoulos,Won,GTXPro,2017-04-14,2017-06-16,5546
Hottechi,ANXSK3QV,Vicki Laflamme,Won,MG Special,2017-04-14,2017-04-20,59
Statholdings,7I6OHUE4,Anna Snelling,Lost,GTX Plus Basic,2017-04-15,2017-04-23,0
Statholdings,AY9NWO78,Anna Snelling,Lost,MG Special,2017-04-15,2017-04-20,0
Statholdings,BEP06EN5,Anna Snelling,Won,GTX Plus Pro,2017-04-15,2017-04-16,5082
Iselectrics,8H95X3AP,Boris Faz,Won,GTX Plus Pro,2017-04-15,2017-04-24,5293
Hottechi,P7LVKDC9,Cecily Lampkin,Won,GTX Plus Basic,2017-04-15,2017-06-27,1163
Ganjaflex,QRVHBQSF,Donn Cantrell,Won,MG Special,2017-04-15,2017-04-16,49
Donquadtech,8KH8XJRE,Garret Kinder,Won,MG Special,2017-04-15,2017-05-01,53
Betatech,YZ4AIQQR,Gladys Colclough,Lost,MG Advanced,2017-04-15,2017-04-16,0
Gogozoom,R8CW1D6X,Gladys Colclough,Lost,MG Advanced,2017-04-15,2017-06-12,0
Lexiqvolax,68KYNPDQ,Hayden Neloms,Lost,GTX Plus Basic,2017-04-15,2017-04-24,0
,K6M3EX4O,Kami Bicknell,In Progress,GTX Plus Basic,2017-04-15,,
Fasehatice,9B0HGLRU,Kami Bicknell,Lost,GTX Basic,2017-04-15,2017-04-21,0
,LWPFQ1UA,Kary Hendrixson,In Progress,GTX Basic,2017-04-15,,
Sunnamplex,TN59K8NP,Kary Hendrixson,Lost,GTX Basic,2017-04-15,2017-08-07,0
Codehow,3OBMD08T,Moses Frase,Lost,MG Advanced,2017-04-15,2017-04-17,0
Finhigh,5FWBETTO,Versie Hillebrand,Won,MG Advanced,2017-04-15,2017-05-19,3641
Plusstrip,ANRCHVJM,Violet Mclelland,In Progress,MG Special,2017-04-15,,
Condax,UDTQF84C,Violet Mclelland,Lost,GTX Basic,2017-04-15,2017-04-17,0
Condax,35IRGXY3,Zane Levy,Won,GTX Basic,2017-04-15,2017-05-23,501
Konex,YHRVQVPV,Zane Levy,Won,GTX Plus Pro,2017-04-15,2017-04-20,4687
dambase,0PGJNCD7,Anna Snelling,Won,GTX Basic,2017-04-16,2017-06-23,626
Finhigh,7X7YIWJO,Anna Snelling,Won,GTX Basic,2017-04-16,2017-08-03,489
Zencorporation,2IO3IJPO,Cassey Cress,Won,GTXPro,2017-04-16,2017-04-27,4852
Warephase,WCSJBX3N,Cecily Lampkin,Lost,MG Advanced,2017-04-16,2017-06-28,0
Bubba Gump,FCNYDFK3,Daniell Hammack,Won,GTX Plus Basic,2017-04-16,2017-06-06,1192
Donquadtech,3Y26MZHI,Daniell Hammack,Won,GTXPro,2017-04-16,2017-04-17,5104
Codehow,P0BMLVSL,Darcel Schlecht,Won,GTXPro,2017-04-16,2017-08-09,5820
Acme Corporation,QK5BW61U,Donn Cantrell,Won,MG Advanced,2017-04-16,2017-08-05,3012
Sumace,J3SZACNW,Garret Kinder,Lost,GTX Plus Pro,2017-04-16,2017-04-22,0
Mathtouch,5SNTPPOV,Garret Kinder,Lost,GTXPro,2017-04-16,2017-04-18,0
Konex,D7F2AWWW,Garret Kinder,Won,GTXPro,2017-04-16,2017-04-23,3930
Domzoom,FUL5V96O,Gladys Colclough,Won,GTX Plus Basic,2017-04-16,2017-04-22,1055
Blackzim,BWIWI1PC,Hayden Neloms,Lost,MG Advanced,2017-04-16,2017-04-22,0
Scottech,GYBIACTC,Jonathan Berthelot,Won,GTX Basic,2017-04-16,2017-04-24,538
Domzoom,VD6BP6T2,Jonathan Berthelot,Won,MG Special,2017-04-16,2017-04-23,68
,10AEGW41,Kary Hendrixson,In Progress,GTXPro,2017-04-16,,
Newex,QA9XE19H,Kary Hendrixson,Lost,MG Advanced,2017-04-16,2017-04-23,0
Newex,8ZYPSX66,Maureen Marcano,Won,GTX Basic,2017-04-16,2017-04-28,572
Groovestreet,0AN86YDG,Maureen Marcano,Won,GTX Plus Basic,2017-04-16,2017-04-24,1234
Ron-tech,VKXZ36VE,Moses Frase,Lost,GTX Basic,2017-04-16,2017-04-18,0
Isdom,OJYFSZ2O,Versie Hillebrand,Lost,MG Special,2017-04-16,2017-04-17,0
